id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
91010501,บ้านฉลุงใต้,Ban Chalung Tai,91010501,91010501,6.7201572197221315,100.0666455924511
91010502,บ้านฉลุง,Ban Chalung,91010502,91010502,6.727021734917326,100.06365358829498
91010503,บ้านท่าคลองใต้,Ban Tha Khlong Tai,91010503,91010503,6.7201572197221315,100.0666455924511
91010504,บ้านท่าคลอง,Ban Tha Khlong,91010504,91010504,6.7265795533137815,100.06216362118721
91010505,บ้านโต๊ะยูด๊ะ,Ban Toyuda,91010505,91010505,6.729705448965515,100.05512952804565
91010506,บ้านกูบังจามังใต้,Ban Kubang Chamang Tai,91010506,91010506,6.719053081239595,100.05398958921432
91010507,บ้านกูบังจามังเหนือ,Ban Kubang Chamang Nuea,91010507,91010507,6.720650018959441,100.05584836006165
91010508,บ้านทุ่ง,Ban Thung,91010508,91010508,6.737270379429544,100.04162460565567
91010509,บ้านหัวเขา,Ban Hua Khao,91010509,91010509,6.738447727718308,100.05993872880936
91010510,บ้านโต๊ะวัง,Ban Towang,91010510,91010510,6.746220285621294,100.06771042943001
91010511,บ้านโคกประดู่,Ban Khok Pradu,91010511,91010511,6.736850848522869,100.06717532873154
91010512,บ้านเขาน้อย,Ban Khao Noi,91010512,91010512,6.73462932643615,100.0763002038002
91010513,บ้านริมห้วย,Ban Rim Huai,91010513,91010513,6.740275009220244,100.06725579500198
91010514,บ้านทุ่งพญา,Ban Thung Phaya,91010514,91010514,6.733587817974722,100.0506716966629
