id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
330802,บักดอง,Bak Dong,bak-dong,330802,22,33150,14.476,104.444
330812,ห้วยจันทร์,Huai Chan,huai-chan,330812,5,33150,14.465,104.353
330809,กันทรอม,Kanthrom,kanthrom,330809,13,33150,14.575,104.353
330807,ขุนหาญ,Khun Han,khun-han,330807,9,33150,14.635,104.371
330806,กระหวัน,Krawan,krawan,330806,12,33150,14.673,104.414
330808,โนนสูง,Non Sung,non-sung,330808,9,33150,14.581,104.416
330811,โพธิ์กระสังข์,Pho Krasang,pho-krasang,330811,14,33150,14.628,104.327
330804,โพธิ์วงศ์,Pho Wong,pho-wong,330804,8,33150,14.666,104.458
330805,ไพร,Phrai,phrai,330805,11,33150,14.706,104.454
330803,พราน,Phran,phran,330803,20,33150,14.592,104.501
330810,ภูฝ้าย,Phu Fai,phu-fai,330810,8,33150,14.683,104.510
330801,สิ,Si,si,330801,14,33150,14.625,104.436
