id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
33210101,บ้านหนองยาง,Ban Nong Yang,33210101,33210101,15.181462025819707,104.07997727394104
33210102,บ้านโดด,Ban Dot,33210102,33210102,15.19837787078617,104.07790526747704
33210103,บ้านหนองกอง,Ban Nong Kong,33210103,33210103,15.201468392785793,104.09145310521126
33210104,บ้านหนองหงอก,Ban Nong Ngok,33210104,33210104,15.209169911096726,104.09502848982811
33210105,บ้านหนองบัว,Ban Nong Bua,33210105,33210105,15.21879156043862,104.05108585953712
33210106,บ้านโนนหนองหว้า,Ban Non Nong Wa,33210106,33210106,15.179351009244094,104.10278141498566
33210107,บ้านหนองหว้า,Ban Nong Wa,33210107,33210107,15.205777964673967,104.06094431877136
33210108,บ้านปลาเดิดใหญ่,Ban Pla Doet Yai,33210108,33210108,15.228549935619885,104.07817885279655
33210109,บ้านปลาเดิดน้อย,Ban Pla Doet Noi,33210109,33210109,15.2194955347442,104.07211437821388
33210110,บ้านหนองกกยูง,Ban Nong Kok Yung,33210110,33210110,15.190326511845495,104.07754987478256
33210111,บ้านหนองเหล็ก,Ban Nong Lek,33210111,33210111,15.182334383343186,104.10025477409363
33210112,บ้านกาดำ,Ban Ka Dam,33210112,33210112,15.19187054324702,104.08163085579872
33210113,บ้านหนองตอ,Ban Nong To,33210113,33210113,15.238241866783627,104.07926112413406
33210114,บ้านนา,Ban Na,33210114,33210114,15.177308570915153,104.07582923769951
33210115,บ้านหนองบวบ,Ban Nong Buap,33210115,33210115,15.230974901260502,104.06670033931732
33210116,บ้านหนองเหล็กน้อย,Ban Nong Lek Noi,33210116,33210116,15.182043166469782,104.13189947605133
33210117,บ้านโพธิ์ศรี,Ban Pho Si,33210117,33210117,15.228643104506421,104.07581448554993
33210118,บ้านหนองคู,Ban Nong Khu,33210118,33210118,15.214629781914233,104.06587421894073
33210119,บ้านหนองหงอกน้อย,Ban Nong Ngok Noi,33210119,33210119,15.209169911096726,104.09502178430557
33210120,บ้านป่าผาง,Ban Pa Phang,33210120,33210120,15.229823240165954,104.0744586288929
33210121,บ้านบัวบะ,Ban Bua Ba,33210121,33210121,15.215978227866307,104.07101735472679
33210122,บ้านหนองแมว,Ban Nong Maeo,33210122,33210122,15.176937098703373,104.08841952681541
33210123,บ้านโนนชาติ,Ban Non Chat,33210123,33210123,15.204796994792982,104.08289149403572
33210124,บ้านชมพูทอง,Ban Chomphu Thong,33210124,33210124,15.20724682264904,104.05878514051437
33210125,บ้านหนองบัวน้อย,Ban Nong Bua Noi,33210125,33210125,15.204822877961922,104.0505762398243
