id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
33060101,บ้านคอก,Ban Khok,33060101,33060101,14.753399297796294,104.33853015303612
33060102,บ้านสวาย,Ban Sawai,33060102,33060102,14.764720847677296,104.36685293912888
33060103,บ้านจังกระดาน,Ban Chang Kradan,33060103,33060103,14.748912014177701,104.37023788690567
33060104,บ้านโพง,Ban Phong,33060104,33060104,14.714128539720766,104.36897188425064
33060105,บ้านมะขาม,Ban Makham,33060105,33060105,14.713869114929452,104.38903614878654
33060106,บ้านติ้ว,Ban Tio,33060106,33060106,14.720538828317865,104.40555989742279
33060107,บ้านพราน,Ban Phran,33060107,33060107,14.738797130130603,104.39994066953659
33060108,บ้านไพรบึง 1,Ban Phrai Bueng 1,33060108,33060108,14.754784371274695,104.36002135276794
33060109,บ้านผือ,Ban Phue,33060109,33060109,14.75486607477188,104.41552296280861
33060110,บ้านตราด,Ban Trat,33060110,33060110,14.786920007695764,104.35033321380615
33060111,บ้านทุ่ม,Ban Thum,33060111,33060111,14.71343717196757,104.38352286815643
33060112,บ้านกระแมด,Ban Kramaet,33060112,33060112,14.727817948207909,104.38645720481873
33060113,บ้านกอก,Ban Kok,33060113,33060113,14.70065879691409,104.36659276485443
33060114,บ้านภูมิ,Ban Phum,33060114,33060114,14.712012921548714,104.397943764925
33060115,บ้านไพรบึง 2,Ban Phrai Bueng 2,33060115,33060115,14.759136660877513,104.35901015996933
33060116,บ้านไพรบึง 3,Ban Phrai Bueng 3,33060116,33060116,14.75235789310976,104.36167895793915
33060117,บ้านหนองปิด,Ban Nong Pit,33060117,33060117,14.745585398828908,104.36677113175392
33060118,บ้านสนวน,Ban Sanuan,33060118,33060118,14.766422271348638,104.37015473842621
33060119,บ้านหนองไพร,Ban Nong Phrai,33060119,33060119,14.759442718489879,104.33695033192635
33060120,บ้านโพธิ์ชัย,Ban Pho Chai,33060120,33060120,14.747140419505278,104.36204642057419
33060121,บ้านพอก,Ban Phok,33060121,33060121,14.742256138732921,104.39719542860985
