id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
640510,บ้านแก่ง,Ban Kaeng,ban-kaeng,640510,13,64130,17.449,99.643
640505,บ้านตึก,Ban Tuek,ban-tuek,640505,14,64130,17.649,99.881
640509,ดงคู่,Dong Khu,dong-khu,640509,9,64130,17.547,99.899
640501,หาดเสี้ยว,Hat Siao,hat-siao,640501,5,64130,17.520,99.784
640503,แม่สำ,Mae Sam,mae-sam,640503,14,64130,17.608,99.713
640504,แม่สิน,Mae Sin,mae-sin,640504,25,64130,17.736,99.585
640506,หนองอ้อ,Nong O,nong-o,640506,9,64130,17.484,99.751
640502,ป่างิ้ว,Pa Ngio,pa-ngio,640502,12,64130,17.550,99.825
640511,สารจิตร,San Chit,san-chit,640511,14,64130,17.420,99.728
640508,ศรีสัชนาลัย,Si Satchanalai,si-satchanalai,640508,6,64190,17.409,99.778
640507,ท่าชัย,Tha Chai,tha-chai,640507,13,64190,17.444,99.846
