id,name.local,name.en,name.slug,code.id,children_count.subdistrict,geo.lat,geo.lon
3213,บัวเชด,Buachet,buachet-3213,3213,6,14.532,104.014
3204,จอมพระ,Chom Phra,chom-phra-3204,3204,9,15.136,103.565
3202,ชุมพลบุรี,Chumphon Buri,chumphon-buri-3202,3202,9,15.312,103.557
3206,กาบเชิง,Kap Choeng,kap-choeng-3206,3206,6,14.533,103.667
3216,เขวาสินรินทร์,Khwao Sinarin,khwao-sinarin-3216,3216,5,15.06,103.61
3211,ลำดวน,Lamduan,lamduan-3211,3211,5,14.751,103.77
3201,เมืองสุรินทร์,Mueang Surin,mueang-surin-3201,3201,21,14.884,103.49
3217,โนนนารายณ์,Non Narai,non-narai-3217,3217,5,15.228,103.927
3214,พนมดงรัก,Phanom Dong Rak,phanom-dong-rak-3214,3214,4,14.49,103.249
3205,ปราสาท,Prasat,prasat-3205,3205,18,14.688,103.377
3207,รัตนบุรี,Rattanaburi,rattanaburi-3207,3207,12,15.317,103.94
3212,สำโรงทาบ,Samrong Thap,samrong-thap-3212,3212,10,15.092,103.875
3210,สังขะ,Sangkha,sangkha-3210,3210,12,14.575,103.856
3208,สนม,Sanom,sanom-3208,3208,7,15.124,103.838
3215,ศรีณรงค์,Si Narong,si-narong-3215,3215,5,14.757,103.977
3209,ศีขรภูมิ,Sikhoraphum,sikhoraphum-3209,3209,15,14.984,103.829
3203,ท่าตูม,Tha Tum,tha-tum-3203,3203,10,15.232,103.615
