id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
32011601,บ้านเทนมีย์,Ban Thenmi,32011601,32011601,14.795341841784756,103.54937866330147
32011602,บ้านเกรียด,Ban Kriat,32011602,32011602,14.78756575804526,103.54672327637672
32011603,บ้านทำนบ,Ban Thamnop,32011603,32011603,14.791979630669614,103.53515759110451
32011604,บ้านคาบใต้,Ban Khap Tai,32011604,32011604,14.794078911672033,103.5294646024704
32011605,บ้านคาบเหนือ,Ban Khap Nuea,32011605,32011605,14.797539633843606,103.53195637464523
32011606,บ้านระหาร,Ban Rahan,32011606,32011606,14.808546411868162,103.52691113948822
32011607,บ้านตาเพชร,Ban Ta Phet,32011607,32011607,14.815925009710131,103.54664549231529
32011608,บ้านเฉนียง,Ban Chaniang,32011608,32011608,13.72706875088845,100.5340875685215
32011609,บ้านอำปึล,Ban Amphuen,32011609,32011609,14.75142282936229,103.54403302073479
32011610,บ้านโคกปราสาท,Ban Khok Prasat,32011610,32011610,14.75286757248946,103.50776687264442
32011611,บ้านสวาย,Ban Sawai,32011611,32011611,14.807580472448771,103.55988085269928
32011612,บ้านขุนไชย,Ban Khun Chai,32011612,32011612,14.79156469934597,103.55504751205444
32011613,บ้านเสม็ด,Ban Samet,32011613,32011613,14.733146130633507,103.54749038815498
32011614,บ้านคุ้มจลง,Ban Khum Chalong,32011614,32011614,14.784339580496766,103.55283334851265
