id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
32150201,บ้านแจนแวน,Ban Chaenwaen,32150201,32150201,14.76911443586421,103.9336909353733
32150202,บ้านแดง,Ban Daeng,32150202,32150202,14.783574523321617,103.93870532512665
32150203,บ้านเกาะ,Ban Ko,32150203,32150203,14.75769714683924,103.9338518679142
32150204,บ้านพราน,Ban Phran,32150204,32150204,14.790623320963377,103.92454192042351
32150205,บ้านตะโนน,Ban Ta Non,32150205,32150205,14.79956625067858,103.93126353621483
32150206,บ้านสำโรง,Ban Samrong,32150206,32150206,14.812025054668746,103.90604138374329
32150207,บ้านสนวน,Ban Sanuan,32150207,32150207,14.801709542694455,103.94290030002594
32150208,บ้านพะเนาว์,Ban Phanao,32150208,32150208,14.80865272976945,103.95738422870636
32150209,บ้านเกาะน้อย,Ban Ko Noi,32150209,32150209,14.753841536634821,103.93251344561577
32150210,บ้านสิม,Ban Sim,32150210,32150210,14.805524109227047,103.95320534706116
32150211,บ้านตะโนน,Ban Ta Non,32150211,32150211,14.801046978580274,103.93126487731934
32150212,บ้านหม่อนไหมพัฒนา,Ban Mon Mai Phatthana,32150212,32150212,14.773801004932826,103.93281117081642
32150213,บ้านสำโรงน้อย,Ban Samrong Noi,32150213,32150213,14.811367708258532,103.90596091747284
