id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
34100801,บ้านหาดทรายคูณ,Ban Hat Sai Khun,34100801,34100801,14.898590617469537,105.35326078534126
34100802,บ้านบกเจริญ,Ban Bok Charoen,34100802,34100802,14.857896939032555,105.33197343349457
34100803,บ้านนาแคน,Ban Na Khaen,34100803,34100803,14.865592723449378,105.32506540417671
34100804,บ้านแมด,Ban Maet,34100804,34100804,14.837339800820443,105.32141625881195
34100805,บ้านโนนสมบูรณ์,Ban Non Sombun,34100805,34100805,14.930283743711785,105.33574193716049
34100806,บ้านหนองขามใหญ่,Ban Nong Kham Yai,34100806,34100806,14.83000082573532,105.3230108320713
34100807,บ้านโนนกาหลงน้อย,Ban Non Kalong Noi,34100807,34100807,14.935006988019184,105.32061293721199
34100808,บ้านหาดใต้,Ban Hat Tai,34100808,34100808,14.889855266905142,105.36233603954315
34100809,บ้านหาดใหม่พัฒนา,Ban Hat Mai Phatthana,34100809,34100809,14.898985903145164,105.35346999764442
34100810,บ้านนาแคนพัฒนา,Ban Na Khaen Phatthana,34100810,34100810,14.867149475853743,105.32374173402786
34100811,บ้านหาดเหนือ,Ban Hat Nuea,34100811,34100811,14.90039337346272,105.35688444972038
34100812,บ้านดอนโจด,Ban Don Chot,34100812,34100812,14.89106968327769,105.38267120718956
