id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
34041101,บ้านไทย,Ban Thai,34041101,34041101,15.460918761291472,104.43972453474998
34041102,บ้านไทย,Ban Thai,34041102,34041102,15.473047913969655,104.24256205558777
34041103,บ้านโพนทราย,Ban Phon Sai,34041103,34041103,15.457285305873036,104.44299817085266
34041104,บ้านโพนทราย,Ban Phon Sai,34041104,34041104,15.463938190520688,104.4408631324768
34041105,บ้านชาติ,Ban Chat,34041105,34041105,15.45790962878722,104.41159084439278
34041106,บ้านโพนทอง,Ban Phon Thong,34041106,34041106,15.44285943281216,104.40423488616943
34041107,บ้านโพนทอง,Ban Phon Thong,34041107,34041107,15.441538303588977,104.40730199217796
34041108,บ้านทุ่งใหญ่,Ban Thung Yai,34041108,34041108,15.471458135827453,104.41035702824593
34041109,บ้านทุ่งใหญ่,Ban Thung Yai,34041109,34041109,15.471458135827453,104.41035702824593
34041110,บ้านโนนดู่,Ban Non Du,34041110,34041110,15.460481871054247,104.45146590471268
34041111,บ้านโพนทอง,Ban Phon Thong,34041111,34041111,15.443591091755321,104.4072537124157
34041112,บ้านโพนทอง,Ban Phon Thong,34041112,34041112,15.443173555254132,104.40478876233101
