id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
34191301,บ้านหนองบัวฮีน้อย,Ban Nong Bua Hi Noi,34191301,34191301,15.113645277648772,105.2352824807167
34191302,บ้านหนองบัวฮี,Ban Nong Bua Hi,34191302,34191302,15.10634813021724,105.23498743772507
34191303,บ้านหนองบัวฮี,Ban Nong Bua Hi,34191303,34191303,15.107421484356566,105.23718014359474
34191304,บ้านเม็ก,Ban Mek,34191304,34191304,15.090062002035676,105.24148643016815
34191305,บ้านบัวแดง,Ban Bua Daeng,34191305,34191305,15.081458776246487,105.22260636091232
34191306,บ้านดูกอึ่ง,Ban Duk Ueng,34191306,34191306,15.065494493573768,105.21844759583473
34191307,บ้านดอนงัว,Ban Don Ngua,34191307,34191307,15.09598590520869,105.19042387604713
34191308,บ้านดอนงัว,Ban Don Ngua,34191308,34191308,15.094253423404039,105.19150078296661
34191309,บ้านบัวทอง,Ban Bua Thong,34191309,34191309,15.102523371821755,105.20692214369774
34191310,บ้านหนองกอก,Ban Nong Kok,34191310,34191310,15.045907863710518,105.18715292215347
34191311,บ้านโนนยานาง,Ban Non Ya Nang,34191311,34191311,15.030027696332855,105.21341308951378
34191312,บ้านหนองสองห้อง,Ban Nong Song Hong,34191312,34191312,15.010975375899257,105.21793529391289
34191313,บ้านโนนเจริญ,Ban Non Charoen,34191313,34191313,15.091955079324812,105.18632009625435
34191314,บ้านโนนพยอม,Ban Non Phayom,34191314,34191314,15.028652162534302,105.21251454949379
34191315,บ้านนาหว้า,Ban Na Wa,34191315,34191315,15.047133052175312,105.18494009971619
34191316,บ้านหินลาด,Ban Hin Lat,34191316,34191316,15.081430288165503,105.2239541709423
