id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
41110501,บ้านอ้อมกอ,Ban Om Ko,41110501,41110501,17.595981383891118,103.32154244184494
41110502,บ้านดงดารา,Ban Dong Dara,41110502,41110502,17.61216337688839,103.3417958021164
41110503,บ้านโคกคำไหล,Ban Khok Kam Lai,41110503,41110503,17.572385213418148,103.31818833947182
41110504,บ้านไผ่ล้อม,Ban Phai Lom,41110504,41110504,17.57903724937878,103.3000659942627
41110505,บ้านโนนหอม,Ban Non Hom,41110505,41110505,17.568880746304345,103.28168883919716
41110506,บ้านศรีเจริญ,Ban Si Charoen,41110506,41110506,17.59652084962977,103.31824734807014
41110507,บ้านโนนสมบัติ,Ban Non Sombat,41110507,41110507,17.5819125203466,103.30126225948334
41110508,บ้านเดชอุดม,Ban Det Udom,41110508,41110508,17.56927198167905,103.27771782875061
41110509,บ้านโนนสมบูรณ์,Ban Non Sombun,41110509,41110509,17.606213061438762,103.27753409743309
41110510,บ้านโนนศรีทอง,Ban Non Si Thong,41110510,41110510,17.60832605305615,103.3213908970356
