id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
41010901,บ้านหนองนาคำ,Ban Nong Na Kham,41010901,41010901,17.37332256854693,102.88953378796577
41010902,บ้านโก่ย,Ban Koi,41010902,41010902,17.357135952283002,102.89166748523712
41010903,บ้านหนองใส,Ban Nong Sai,41010903,41010903,17.410625949924654,102.84900024533272
41010904,บ้านหนองหว้า,Ban Nong Wa,41010904,41010904,17.325698142233698,102.90667444467545
41010905,บ้านหนองไผ่,Ban Nong Phai,41010905,41010905,17.3312543649213,102.89292812347412
41010906,บ้านหนองแก,Ban Nong Kae,41010906,41010906,17.3503477974225,102.92794436216354
41010907,บ้านจำปา,Ban Champa,41010907,41010907,17.351766123977537,102.904252409935
41010908,บ้านถ่อนน้อย,Ban Thon Noi,41010908,41010908,17.371611304039305,102.91102096438408
41010909,บ้านหนองตูม,Ban Nong Tum,41010909,41010909,17.367411790616256,102.89543598890305
41010910,บ้านดอนภู่,Ban Don Phu,41010910,41010910,17.40979544765437,102.8572990000248
41010911,บ้านนาหวาน,Ban Na Wan,41010911,41010911,17.40516939136508,102.85480856895447
41010912,บ้านหนองไผ่คา,Ban Nong Phai Kha,41010912,41010912,17.384241262643453,102.9319354891777
41010913,บ้านดอนหัน,Ban Don Han,41010913,41010913,17.37525524146994,102.853644490242
41010914,บ้านพรสวรรค์,Ban Phon Sawan,41010914,41010914,17.373469759586445,102.86012470722198
41010915,บ้านโนนสะอาด,Ban Non Sa-at,41010915,41010915,17.349563104822728,102.89916023612022
41010916,บ้านหนองนาคำ 2,Ban Nong Na Kham 2,41010916,41010916,17.365522554156225,102.88103252649307
41010917,บ้านหนองใส 2,Ban Nong Sai 2,41010917,41010917,17.40806404942796,102.84118294715881
41010918,บ้านโนนกอก,Ban Non Kok,41010918,41010918,17.38042472129886,102.88129135966301
