id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
61040201,บ้านใหม่เขาปูน,Ban Mai Khao Pun,61040201,61040201,15.330854231590045,99.7701059281826
61040202,บ้านหนองกระทุ่ม,Ban Nong Krathum,61040202,61040202,15.337304225815592,99.84292387962341
61040203,บ้านเกาะอีเพลิน,Ban Ko I Phloen,61040203,61040203,15.353341046139013,99.84463512897491
61040204,บ้านงิ้วงาม,Ban Ngio Ngam,61040204,61040204,15.316488149178149,99.81519788503647
61040205,บ้านหนองยาง,Ban Nong Yang,61040205,61040205,15.369908115150192,99.84607815742493
61040206,บ้านดงไร่,Ban Dong Rai,61040206,61040206,15.374608624439343,99.86799851059914
61040207,บ้านหนองจิก,Ban Nong Chik,61040207,61040207,15.344902469636411,99.81877595186234
61040208,บ้านล่อมเสือโฮก,Ban Lom Suea Hok,61040208,61040208,15.367894687133322,99.82589587569237
61040209,บ้านทุ่งใหญ่,Ban Thung Yai,61040209,61040209,15.336307057045326,99.82390433549881
61040210,บ้านหนองบัว,Ban Nong Bua,61040210,61040210,15.327276707616681,99.78678792715073
