id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
950115,บันนังสาเรง,Bannang Sareng,bannang-sareng-950115,950115,95000,6.48,101.258
950102,บุดี,Budi,budi-950102,950102,95000,6.487,101.305
950109,ลำใหม่,Lam Mai,lam-mai-950109,950109,95160,6.583,101.205
950111,ลำพะยา,Lam Phaya,lam-phaya-950111,950111,95160,6.584,101.162
950104,ลิดล,Lidon,lidon-950104,950104,95160,6.551,101.166
950110,หน้าถ้ำ,Na Tham,na-tham-950110,950110,95000,6.525,101.225
950114,พร่อน,Phron,phron-950114,950114,95160,6.563,101.229
950112,เปาะเส้ง,Po Seng,po-seng-950112,950112,95000,6.511,101.201
950101,สะเตง,Sateng,sateng-950101,950101,95000,6.547,101.28
950116,สะเตงนอก,Sateng Nok,sateng-nok-950116,950116,95000,6.552,101.324
950118,ตาเซะ,Ta Se,ta-se-950118,950118,95000,6.62,101.253
950108,ท่าสาป,Tha Sap,tha-sap-950108,950108,95000,6.538,101.235
950106,ยะลา,Yala,yala-950106,950106,95000,6.523,101.181
950103,ยุโป,Yopo,yopo-950103,950103,95000,6.597,101.283
