id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
95040301,บ้านละหาด,Ban La Hat,95040301,95040301,6.007600008803314,101.19461104273796
95040302,บ้านวังไทร,Ban Wang Sai,95040302,95040302,6.011045046229965,101.26669406890869
95040303,บ้านกระป๋อง,Ban Kra Pong,95040303,95040303,6.020202364451661,101.15731224417686
95040304,บ้านปะเด็ง,Ban Pa Deng,95040304,95040304,6.01118642167092,101.22978687286377
95040305,บ้านฆอแย,Ban Kho Yae,95040305,95040305,6.055497805436375,101.18841379880905
95040306,บ้านสันติ 2,Ban Santi 2,95040306,95040306,6.080462620013308,101.32303789258003
95040307,บ้านคอกช้าง,Ban Khok Chang,95040307,95040307,6.044803389723126,101.16676434874535
95040308,บ้านปาโจแมเราะ,Ban Pa Cho Mae Ro,95040308,95040308,6.02370600481754,101.13697707653046
95040309,บ้านจุฬาภรณ์,Ban Chulabhorn,95040309,95040309,6.058753165428268,101.4018103480339
95040310,บ้านในหลวง,Ban Nai Luang,95040310,95040310,6.017222851973544,101.2072241306305
95040311,บ้านตาพะเยา,Ban Ta Pe Yao,95040311,95040311,6.032420328574715,101.20884016156197
95040312,บ้านชุมชนพัฒนา,Ban Chumchon Phatthana,95040312,95040312,5.996987342693066,101.2106654047966
