id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
35010201,บ้านน้ำคำใหญ่,Ban Nam Kham Yai,35010201,35010201,15.83591110525128,104.15454000234604
35010202,บ้านน้ำคำน้อย,Ban Nam Kham Noi,35010202,35010202,15.81794806219843,104.1596294939518
35010203,บ้านห้องข่า,Ban Hong Kha,35010203,35010203,15.812453803147651,104.17747691273689
35010204,บ้านขี้เหล็ก,Ban Khilek,35010204,35010204,15.814151903842369,104.18411672115326
35010205,บ้านกุดจอก,Ban Kut Chok,35010205,35010205,15.811301512415922,104.19160813093185
35010206,บ้านห้องพอก,Ban Hong Phok,35010206,35010206,15.812064115415144,104.19472619891167
35010207,บ้านหนองเสือตาย,Ban Nong Suea Tai,35010207,35010207,15.821368672751305,104.18591916561127
35010208,บ้านสมสะอาด,Ban Som Sa-at,35010208,35010208,15.830468944024673,104.17111739516258
35010209,บ้านหนองแวง,Ban Nong Waeng,35010209,35010209,15.864451019658091,104.19363722205162
35010210,บ้านวังแคน,Ban Wang Khaen,35010210,35010210,15.82677495164911,104.15114298462868
35010211,บ้านตับเต่า,Ban Tap Tao,35010211,35010211,15.828817429408124,104.14267659187317
35010212,บ้านตับเต่า,Ban Tap Tao,35010212,35010212,15.827529754741601,104.14673611521721
35010213,บ้านดอนหัวหมู,Ban Don Hua Mu,35010213,35010213,15.837679969612465,104.15953025221825
35010214,บ้านห้องข่า,Ban Hong Kha,35010214,35010214,15.812855103306248,104.17358234524727
35010215,บ้านน้ำคำน้อย,Ban Nam Kham Noi,35010215,35010215,15.817287417054743,104.15798127651215
